id;tower;_071_eqty_fta;_075_cash_a;_166_ebitda_int_exp;_167_eqty_gw_a;_168_b_loans_bonds_a;_172_eqty_gw_a_gw;_187_margin_yoy;_192_tpo_rev;_193_tro_rev;_209_ebtda_pv;_210_e_eqty;_211_e_a;_166_ebitda_int_exp_3;_027_st_l_ebitda_2;_161_rev_yoy_2;_187_margin_yoy_2;_187_margin_yoy_3;PD
10770;SK;0.237216;0.559565;4.383641;0.039663;-0.192169;1.240660;1.006883;-0.968246;74.852769;0.541827;0.469864;0.018636;0.648928;10.366390;0.867446776;0.906883169;0.777649158;0.047979835
10772;SK;0.805479;0.038623;21.526941;0.314448;-0.529498;0.210261;2.029998;0.395209;17.169257;0.359703;0.176640;0.055544;0.301698;6.812499;1.938267189;1.92999825;2.14106758;0.033536501
10774;SK;1.313150;-0.984164;54.993092;0.426804;-0.404860;-0.211056;0.035773;0.043583;5.825368;0.313557;0.166898;0.071233;-0.376143;3.751725;0.015059848;0.064227224;-0.478548219;0.009271374
10775;SK;1.744822;-0.073785;85.295783;0.322726;-0.314261;0.179222;0.258808;0.418985;25.573164;0.180378;0.313322;0.101117;-0.989911;4.093009;0.178361443;0.158807921;-0.219247079;0.011705997
10776;SK;0.356885;0.673168;-2.302826;0.209141;1.978647;0.605147;0.472095;0.079221;55.310197;1.013309;-0.339595;-0.071023;0.737717;33.870000;0.254212359;0.372095152;0.064982667;0.069869108
10777;SK;0.284986;0.634337;-0.182521;0.116063;1.939053;0.954174;0.050999;-0.389791;31.167695;0.814233;-0.595002;-0.069057;0.737717;33.870000;0.213793794;0.049001451;-0.496176949;0.063405723
10778;SK;0.700636;0.463778;1.588903;0.247483;1.451904;0.461368;0.352643;-0.268939;21.009168;0.605055;0.133772;0.033106;0.705534;14.413565;0.109529116;0.252642645;-0.094201526;0.048744636
10779;SK;0.632447;0.266165;1.546353;0.234175;1.569623;0.511271;0.134853;-0.188037;12.883956;0.575016;-0.006600;-0.001546;0.706396;14.630618;0.080665518;0.034853356;-0.384430782;0.045430873
10780;SK;0.526605;0.487451;1.940541;0.175376;1.419625;0.731759;0.209331;0.016836;19.765816;0.562412;-0.116288;-0.020394;0.698412;13.259282;0.082938536;0.109331286;-0.285180382;0.053313122
10781;SK;0.363831;0.584688;2.569956;0.170786;1.294644;0.748971;0.060511;-0.162732;19.341029;0.552981;0.008125;0.001388;0.685663;12.221293;0.043136806;0.03948877;-0.483500209;0.051020453
